spatial_extent,region,cloud_cover,threshold,only_s1,use_sentinelhub,rgb_processing,output_dir,month_start,month_end,id,backend_name,status,start_time,running_start_time,cpu,memory,duration,costs
"{'west': 7.360438313000031, 'east': 7.759684125604409, 'south': 55.846948111000074, 'north': 56.06537616862995, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-26042018030049ce986c587fd788b441,cdse,error,2026-04-20T18:03:00Z,2026-04-20T18:06:20Z,510 cpu-seconds,3471360 mb-seconds,310 seconds,5
"{'west': 7.3604798158987395, 'east': 7.752752152908796, 'south': 56.0607884130767, 'north': 56.28993971450088, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201803064a148ed7ae798cb3cbbe,cdse,error,2026-04-20T18:03:06Z,2026-04-20T18:25:18Z,1305.0000000000002 cpu-seconds,8709120 mb-seconds,1494 seconds,6
"{'west': 7.360493589672456, 'east': 7.74544877348422, 'south': 56.28544087381285, 'north': 56.51449443119185, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-260420180310460d9f391cf25b46df96,cdse,error,2026-04-20T18:03:11Z,2026-04-20T18:14:45Z,1020 cpu-seconds,8417280 mb-seconds,921 seconds,6
"{'west': 7.360462584273564, 'east': 7.738039911273527, 'south': 56.51008546412394, 'north': 56.73904033321666, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201803134030bfda09351275ed38,cdse,error,2026-04-20T18:03:14Z,2026-04-20T18:08:23Z,810 cpu-seconds,5621760 mb-seconds,485 seconds,5
"{'west': 7.360438313000031, 'east': 7.730523458735756, 'south': 56.734722208508344, 'north': 56.84581226661084, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201810304bc8b749d53be6aa0046,cdse,error,2026-04-20T18:10:30Z,2026-04-20T18:16:49Z,720 cpu-seconds,5283840 mb-seconds,540 seconds,5
"{'west': 7.752752152908796, 'east': 8.158982255843894, 'south': 55.84921977557077, 'north': 56.06877998338632, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201812394e1a942c9e9bfe978fc7,cdse,finished,2026-04-20T18:12:39Z,2026-04-20T18:16:49Z,,,684 seconds,7
"{'west': 7.74544877348422, 'east': 8.154228985788597, 'south': 56.06537616862995, 'north': 56.293372337087185, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201820004559bf2add4ba824cfb5,cdse,finished,2026-04-20T18:20:01Z,2026-04-20T18:25:20Z,,,781 seconds,8
"{'west': 7.738039911273527, 'east': 8.149275639761507, 'south': 56.28993971450088, 'north': 56.517956200666625, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-260420182008484493782c98983c407f,cdse,finished,2026-04-20T18:20:09Z,2026-04-20T18:24:17Z,,,634 seconds,7
"{'west': 7.730523458735756, 'east': 8.144250737242933, 'south': 56.51449443119185, 'north': 56.74253159559937, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-260420182522446bbba27c57fe0640c4,cdse,finished,2026-04-20T18:25:23Z,2026-04-20T18:28:40Z,,,787 seconds,9
"{'west': 7.726910901443146, 'east': 8.139152848082238, 'south': 56.73904033321666, 'north': 56.84688998292316, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-260420182844476aaa1e4972545b911c,cdse,finished,2026-04-20T18:28:44Z,2026-04-20T18:35:43Z,,,763 seconds,7
"{'west': 8.154228985788597, 'east': 8.55830001979566, 'south': 55.849876630904326, 'north': 56.070878003243074, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-260420183200450d8b5f18b58231f8b5,cdse,finished,2026-04-20T18:32:00Z,2026-04-20T18:35:43Z,,,804 seconds,10
"{'west': 8.149275639761507, 'east': 8.55577597661665, 'south': 56.06877998338632, 'north': 56.29548811587975, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201834274710963ff9b4182bf8ab,cdse,finished,2026-04-20T18:34:27Z,2026-04-20T18:36:45Z,,,701 seconds,8
"{'west': 8.144250737242933, 'east': 8.553174056251352, 'south': 56.293372337087185, 'north': 56.52008994747803, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201839564ca9a0683b6f7224c12f,cdse,finished,2026-04-20T18:39:57Z,2026-04-20T18:45:30Z,,,767 seconds,11
"{'west': 8.139152848082238, 'east': 8.55053454336274, 'south': 56.517956200666625, 'north': 56.744683523806806, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-26042018421845ecac0ca2dae9a8b117,cdse,finished,2026-04-20T18:42:18Z,2026-04-20T18:51:21Z,,,1006 seconds,11
"{'west': 8.136758585884996, 'east': 8.547856686467268, 'south': 56.74253159559937, 'north': 56.84688998292316, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201846354f27b64330a0dacd20f7,cdse,finished,2026-04-20T18:46:36Z,2026-04-20T18:51:22Z,,,727 seconds,7
"{'west': 8.55577597661665, 'east': 8.957604725401723, 'south': 55.84826155963061, 'north': 56.07166985614235, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-26042018480146c6a1955a778830e11a,cdse,finished,2026-04-20T18:48:01Z,2026-04-20T18:51:22Z,,,751 seconds,9
"{'west': 8.553174056251352, 'east': 8.957359825096706, 'south': 56.070878003243074, 'north': 56.296286672019484, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-260420185335428ab1fb79ec5bb1f96e,cdse,finished,2026-04-20T18:53:36Z,2026-04-20T19:02:59Z,,,1078 seconds,8
"{'west': 8.55053454336274, 'east': 8.957110061964443, 'south': 56.29548811587975, 'north': 56.52089528579131, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201900074c0e8a96c8697dd0ca22,cdse,finished,2026-04-20T19:00:07Z,2026-04-20T19:02:59Z,,,576 seconds,8
"{'west': 8.547856686467268, 'east': 8.956856690077464, 'south': 56.52008994747803, 'north': 56.74549572484814, 'crs': 4326}",Temperate grassland,80,75,False,False,False,C:\Users\akou\OneDrive - DHI\Documents\repos\worldwater-toolbox\test_multijob\Jan2024,2024-01-01,2024-02-01,j-2604201900134358b58ea0719eb8e22a,cdse,finished,2026-04-20T19:00:13Z,2026-04-20T19:03:00Z,,,672 seconds,8
